id,nombre,nombre_cientifico,grupo,etiqueta,rasgo,archivo,prompt_ia_editor
1,Jaguar,Panthera onca,Mamífero,Emblema de la Selva Lacandona,Líder silencioso. Nadie te ve venir.,01_jaguar.png,"Transform the person into a jaguar, golden fur with black rosettes, rounded ears, whiskers, intense amber eyes, tropical rainforest at dusk. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
2,Tapir (danta),Tapirus bairdii,Mamífero,En peligro; su mayor refugio en México es Chiapas,"Tranquilo, fuerte y nada te apura.",02_tapir.png,"Transform the person into a Baird's tapir, dark grey short fur, long flexible snout, small round ears, jungle river background. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
3,Mono saraguato,Alouatta pigra,Mamífero,El aullido de la selva,Se te escucha a un kilómetro.,03_mono_saraguato.png,"Transform the person into a black howler monkey, thick black fur, prominent throat, expressive dark face, jungle canopy background. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
4,Mono araña,Ateles geoffroyi,Mamífero,Acróbata de la Lacandona,"Inquieto, ágil, nunca en el mismo lugar.",04_mono_arana.png,"Transform the person into a spider monkey, long limbs, light brown fur with pale face mask, big curious eyes, hanging branches background. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
5,Ocelote,Leopardus pardalis,Mamífero,Felino de selva y manglar,"Elegante, discreto, de gustos finos.",05_ocelote.png,"Transform the person into a ocelot, tawny fur with black stripes and spots, white muzzle, alert ears, moonlit rainforest. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
6,Tigrillo (margay),Leopardus wiedii,Mamífero,El felino que baja los árboles de cabeza,"Curioso, nocturno, sube donde nadie sube.",06_tigrillo.png,"Transform the person into a margay small wild cat, big round eyes, spotted golden fur, night jungle tree. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
7,Puma,Puma concolor,Mamífero,Presente en sierras y reservas de Chiapas,Independiente. Marcas tu territorio sin ruido.,07_puma.png,"Transform the person into a puma cougar, uniform tan fur, pale muzzle, green eyes, mountain forest background. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
8,Jaguarundi (leoncillo),Herpailurus yagouaroundi,Mamífero,El felino que parece nutria,"Raro, versátil, imposible de encasillar.",08_jaguarundi.png,"Transform the person into a jaguarundi wild cat, sleek dark grey fur, small flat head, long body, tropical scrub background. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
9,Tepezcuintle,Cuniculus paca,Mamífero,El roedor más apreciado del campo chiapaneco,Reservado. De noche eres otra persona.,09_tepezcuintle.png,"Transform the person into a paca rodent, brown fur with white spotted rows, plump body, night forest floor. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
10,Tejón (coatí),Nasua narica,Mamífero,Familias enteras en Cañón del Sumidero,"Sociable, metiche y siempre en bola.",10_tejon.png,"Transform the person into a white-nosed coati, long ringed tail, pointed white snout, brown fur, canyon forest background. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
